country,gap,female.employment,ISO
Belgium,6.1,63,BEL
Bulgaria,14.4,64,BGR
Czech Republic,21.8,68.6,CZE
Denmark,15,74,DEN
Germany,21.5,74.5,GER
Estonia,25.3,72.6,EST
Ireland,13.9,65.4,IRL
Greece,12.5,46.8,GRE
Spain,14.2,58.1,SPA
France,15.2,66.3,FRA
Croatia,8.7,56.6,HRV
Italy,5.3,51.6,ITA
Cyprus,13.9,64.1,CYP
Latvia,17,71.8,LVA
Lithuania,14.4,74.3,LTU
Luxembourg,5.5,65.1,LUX
Hungary,14,64.6,HUN
Malta,11,55.5,MLT
Netherlands,15.6,71.6,NLD
Austria,20.1,70.9,AUT
Poland,7.2,62.2,POL
Portugal,17.5,67.4,PRT
Romania,5.2,57.4,ROU
Slovenia,7.8,66.7,SVN
Slovakia,19,62.7,SVK
Finland,17.4,71.7,FIN
Sweden,13.3,79.2,SWE
United Kingdom,21,72.1,GBR
